sentence_idx	title	sentence	CSI	subject	object	sức mạnh	thiết kế	giá	tính năng	an toàn
530	none	nhiều chuyên_gia 2018 là sở_hữu hông xe cực_kì quyến_rũ và gợi_cảm_giác muốn tìm_hiểu	0							
397	none	về vô - lăng , cùng lắp_đặt vô - lăng 3 chấu bọc da , tích_hợp chỉnh âm_thanh , đàm_thoại rảnh tay	0							
48	none	trên thị_trường hiện_nay , các mẫu xe ô_tô mới thường được trang_bị tính_năng hiện_đại này	0							
419	none	điều này thể_hiện rất rõ khi lái kia optima vượt qua các cung đường off - road nhẹ	0							
513	none	nếu sự đối_lập ở ngoại_thất có_thể giúp người dùng dễ_dàng nhận ra thì khi bước vào khoang lái mọi thiết_kế gần như được giữ nguyên trên suzuki xl7 2020 và suzuki ertiga 2020	0							
511	none	toyota_avanza 2020 cũng là chiếc xe dành cho đường đô_thị là chủ_yếu , tuy_nhiên với những gì trang_bị trong khoang lái , rất khó để có cảm_xúc lái_xe tốt nhất	0							
40	none	ở bên kia chiến_tuyến , bmw 5 series lại cung_cấp cho khách_hàng việt đến 4 phiên_bản lựa_chọn khác nhau với mức giá dao_động từ 2,098 - 3,168 tỷ đồng	0							
510	none	toyota_avanza 2020 sở_hữu vô_lăng 3 chấu , bọc chất_liệu urethane nhưng tích_hợp các nút bấm điều_khiển chức_năng và trợ_lực điện để việc vận_hành nhẹ_nhàng hơn	0							
114	none	trong khi ford ecosport 1.5 l at trend chỉ trang_bị đèn trần dành cho người lái và hành_khách phía trước	0							
505	none	phần lưng hàng ghế trước đã được tinh_chỉnh gọn hơn để người ngồi phía sau cảm_nhận sự rộng_rãi	0							
434	none	trang_bị đầu_tiên mà người tiêu_dùng có_thể quan_tâm là hệ_thống điều hòa tự_động hai vùng độc_lập	0							
133	none	tuy_nhiên , nếu một_cách khách_quan thì chiếc sedan này thực_sự không quá lép_vế nhờ thiết_kế đẹp và sang_trọng	0							
133	none	một điểm “ cộng ” của mazda 3 2015 là cửa_sổ trời và đèn nội_thất khá sang_trọng	0							
394	none	hyundai accent có bảng tablo được thiết_kế theo hướng thực_dụng với tiêu_chí là đơn_giản , cân_xứng giúp người dùng tập_trung hơn khi lái_xe	0							
228	none	điều tạo nên sự đối_lập là việc chevrolet sử_dụng viền nhũ bạc cho hốc gió thay_vì viền mạ chrome sáng bóng như ford , bên cạnh đó là lớp phủ da êm_ái trái_ngược với mảng ốp nhựa vân carbon hiện_đại	0							
346	none	nói tóm_lại , với những mẫu xe đến từ trung_quốc , người tiêu_dùng việt_nam vẫn còn khá dè_chừng về chất_lượng sau thời_gian sử_dụng	0							
456	none	đuôi xe có cụm đèn hậu led kéo_dài sang 2 bên	0							
365	none	đối_với xe_hơi thời hiện_đại , tính_năng an_toàn được coi như 1 hạng_mục không_thể thiếu và mang tính quyết_định trong việc thu_hút người tiêu_dùng	0							
441	none	ford ecosport 2020 được trang_bị màn_hình đặt nổi trên táp - lô với kích_thước 8 inch	0							
439	none	ở phiên_bản 3.0 l , mâm xe là dạng hợp_kim 5 chấu bản to trong khi bản 2.0 l là loại 5 chấu kép	0							
510	none	với 555 triệu , khách_hàng sẽ được suzuki cung_cấp một khoang nội_thất làm từ vật_liệu thể_hiện rõ sự cao_cấp nếu chọn ertiga 2020	0							
358	none	"ở đây , ford everest 2020 sử_dụng bộ mâm 20 inch 6 chấu kép tạo_hình chữ "" v """	0							
48	none	nắp ca pô khá ấn_tượng với những đường vân nổi_bật trong khi cản trước lại được thiết_kế khá mềm_mại khi uốn quanh đèn sương_mù	0							
435	none	"để kích_cầu thêm cho 2 mẫu xe này , kia đã ra_mắt phiên_bản mới sportage 2016 , đối_đầu trực_diện với vị "" tiền_bối "" chung nhà mazda cx - 5"	0							
530	none	cản sau của fortuner khá cứng_nhắc và truyền_thống , nhô hẳn ra ngoài còn 5008 thì thiết_kế đơn_giản , gắn liền với cụm đèn phản_quang	0							
587	none	về phía chevrolet , hãng xe mỹ từng có một thời làm mưa làm gió tại nước ta nhưng sau đó đã dần mất đi chất riêng	0							
382	none	thân xe nổi_bật với đường gân dập nổi phía trên tay nắm cửa , nối_liền cụm đèn trước_sau	0							
96	none	với thiết_kế dàn_trải các chi_tiết từ trái sang phải một_cách liền mạch , đuôi xe hyundai grand i10 2018 trông cực_kỳ chắc_chắn	0							
43	none	động_thái này của trường hải được cho là dọn đường cho phiên_bản nâng_cấp mazda 2 2019 facelift sẽ sớm về việt_nam trong thời_gian tới	0							
52	none	j. d. power hiện vẫn chưa đánh_giá độ tin_cậy đối_với honda cr - v 2018 thế_hệ mới	0							
381	none	về tính_năng an_toàn , honda city 2017 và toyota_vios 2017 đều có sẵn hệ_thống chống bó cứng phanh abs , phân_bổ lực phanh điện_tử ebd , hỗ_trợ phanh khẩn_cấp ba	0							
40	none	bmw 5 series 2018 được trang_bị tiêu_chuẩn với hệ_thống thông_tin giải_trí idrive của bmw cùng màn_hình cảm_ứng 10,2 inch , 12 loa , hệ_thống định_vị và radio hd	0							
535	none	do_nhường phần_lớn diện_tích cho 4 hàng ghế nên khoang chứa đồ của toyota_granvia thực_sự khiến người dùng thất_vọng	0							
582	none	với kích_thước tổng_thể khá lớn , khoảng_cách giữa các hàng ghế của mẫu mpv như innova hay sedona đều khiến khách_hàng có_thể duỗi chân thoải_mái	0							
474	none	"có_lẽ , những gì mà người dùng cảm_nhận sâu_sắc nhất đến từ khả_năng tiết_kiệm nhiên_liệu đúng kiểu "" anh_em "" với toyota"	0							
86	none	về ghế_ngồi , cả 2 mẫu xe đều dùng ghế da cao_cấp với khoảng để chân khá thoải_mái	0							
414	none	hệ_thống lái trợ_lực điện , tích_hợp nút nút điều_chỉnh âm_lượng và đàm_thoại rảnh tay	0							
518	none	về phần mình , honda accord cho thấy rõ sự linh_hoạt trong việc cất_trữ_đồ	0							
161	none	honda lại có lợi_thế nhờ dàn âm_thanh 6 loa , tích_hợp radio / cd , kết_nối usb / hdmi / bluetooth và hỗ_trợ nghe nhạc mp3 / wma	0							
221	none	còn hàng ghế thứ 3 gập theo tỷ_lệ 50 : 50	0							
77	none	vios 2019 sử_dụng vô_lăng_bọc da ở bản cao_cấp ( bản thấp hơn dùng nhựa giả_da ) , mạ bạc hình chữ v , có khả_năng chỉnh tay hai hướng , tích_hợp nút bấm điều_khiển âm_thanh	0							
451	none	tuy_nhiên , nếu thực_sự phù_hợp , không ai tiếc thêm một_chút tiền để sở_hữu mazda 3 2020	0							
406	none	ưu_điểm : nhược_điểm : ưu_điểm : nhược_điểm : đăng_ký ngay kênh youtube của danhgiaxe để cập_nhật sớm nhất những thông_tin thú_vị , hữu_ích	0							
133	none	cả 2 mẫu xe đều có khoang cabin rộng_rãi , sử_dụng tone đen hiện_đại	0							
557	none	ngoại_hình của phiên_bản 2.0 đặc_biệt và 1.6 turbo của hyundai kona 2018 không có quá nhiều khác_biệt	0							
376	none	hệ_thống chiếu sáng của crv đời_mới nhất cũng được trang_bị công_nghệ led hoàn_toàn với các tính_năng tự_động thích_ứng hiện_đại	0							
191	none	tuy_nhiên , nó cũng không nặng cực_đoan kiểu suv nên về phần này cũng không phải vấn_đề quá lớn	0							
571	none	tuy_nhiên , trong bài viết dưới đây , sẽ chỉ nhắc đến 2 mẫu xe đại_diện cho phân khúc suv giá tầm 3 tỷ đồng , đó là infiniti qx60 và audi_q7	0							
396	none	trong khi để tạo nên một tổng_thể hài_hòa với phần đầu xe , hông xe accent 2021 tiếp_tục với những đường gân mảnh nhẹ , mang_vẻ tinh_tế	0							
294	none	gương chiếu hậu gập , chỉnh điện_tích_hợp đèn báo rẽ , santa fe có thêm tính_năng sưởi hữu_dụng khi đi trời mưa	0							
430	none	động_cơ trên kết_hợp với hộp_số tự_động cvt cho công_suất 118 mã_lực và 145 nm mô - men xoắn	0							
384	none	cả 2 mẫu xe đều có_giá bán khoảng 600 triệu đồng với loạt tính_năng khá đầy_đủ và vận_hành êm_ái , dễ_dàng	0							
165	none	gls được trang_bị tiêu_chuẩn với camera chiếu hậu , cảnh_báo trước va_chạm với phanh khẩn_cấp tự_động	0							
18	none	mẫu xe hạng c của hyundai vẫn mang trên mình thiết_kế đơn_giản với một đường gờ nổi chạy dài sát tay nắm cửa trước / sau	0							
562	none	"khoang cabin của prado 2019 vẫn mang sự "" nghèo_nàn "" và những nét cũ_kỹ vốn có của mẫu suv nhật_bản"	0							
269	none	danh_sách trang_bị an_toàn trên x - trail 2.0 v_series và tucson 2.0 diesel đều có các trang_bị như abs , ebd , ba , camera lùi , hệ_thống hỗ_trợ xuống_dốc , khởi_hành ngang dốc , kiểm_soát lực kéo .	0							
458	none	hơn_nữa , tay nắm của accord còn điểm_xuyết dải_crom sang_trọng cùng chức_năng cảm_biến mở khoá thông_minh	0							
73	none	nhìn về phần thân xe , mẫu bán tải đến từ mỹ và nhật đều có điểm mạnh yếu khác nhau , tùy từng mục	0							
381	none	các chuyên_gia đều là thiết_kế tương_đối đại_chúng , phù_hợp với nhiều đối_tượng khách_hàng	0							
458	none	trang_bị an_toàn giữa mazda 6 và honda_accord khá tương_đương nhau , có_chăng người dùng sẽ được tuỳ chọn nâng cao khi mua những bản cao_cấp	0							
506	none	động_cơ thiên về sự ổn_định nên subaru_forester sẽ không phải là xe đáp_ứng quá tốt khi bạn lái_xe kiểu thể_thao , tăng_tốc đột_ngột	0							
106	none	phía honda civic 1.5 l là lưới tản_nhiệt bản to mạ crom đặt ở trung_tâm đầu xe , tăng tính thể_thao cho bề_ngoài của xe	0							
195	none	các chuyên_gia dành sự khen_ngợi đặc_biệt cho khoang lái của mẫu sedan thế_hệ mới này	0							
388	none	đèn hậu boomerang được bổ_sung bóng led tích_hợp xi_nhan được thiết_kế khá ấn_tượng	0							
55	none	ở chiều ngược_lại , mitsubishi xpander 2020 vẫn còn nhiều nhược_điểm của một chiếc xe mpv 7 chỗ giá rẻ	0							
363	none	bệ bước lên xuống được thiết_kế với kích_thước lớn , tay nắm cửa ngoài sơn cùng màu thân xe và tay nắm cửa trong z lift tailgate hỗ_trợ người lái giúp lên xuống dễ_dàng	0							
453	none	nhưng điểm trừ mà chúng_tôi đánh_giá xe kia cerato 2020 chưa thực_sự hấp_dẫn là cụm ống_xả đặt lệch bên phải , đèn xi - nhan hạ thấp khó nhận_diện	0							
509	none	"dù_vậy , điểm trừ của mẫu xe mỹ là "" uống xăng như nước "" kể_cả đi trong nội_thành"	0							
414	none	mâm xe dạng đúc , kích_thước 15 - inch , đa chấu kép chuẩn phong_cách thể_thao	0							
200	none	điều này giúp mẫu xe của mitsubishi thích_ứng tốt hơn khi đi qua các mặt_đường xấu , nhiều ổ_gà hay lên xuống vỉa_hè	0							
200	none	trong khi đó mitsubishi xpander at lại tạo cho mặt ca lăng_vẻ hầm_hố với kiểu thiết_kế dynamic_shield tạo_hình chữ x ngay phía trước	0							
298	none	bảng tablo triton và bt - 50 đều mang thiết_kế đối_xứng và mở_rộng về hai bên , tạo cảm_giác thoáng_đãng cho khoang cabin , chất_liệu chính_yếu cùng là nhựa cứng nên khá dễ lau_chùi và tránh bám bẩn	0							
293	none	hai mẫu xe và từ lâu đã trở_thành những gương_mặt quen_thuộc gắn liền với hạng_mục suv 7 chỗ tại việt_nam	0							
162	none	xe có hàng ghế thứ 2 khá rộng_rãi và thoải_mái cho việc ngồi cũng như để chân cho hành_khách	0							
548	none	truyền_sức_mạnh đến bánh_xe là hộp_số sàn 5 cấp hoặc tự_động 4 cấp và hệ dẫn_động cầu trước	0							
186	none	bên cạnh đó , hai hốc đèn sương_mù được khoét lõm với kích_thước lớn ở hai bên lưới tản_nhiệt mang đến sự mạnh_mẽ và cơ_bắp	0							
303	none	về trang_bị ngoại_thất , cả 2 mẫu suv đều mang lại cho khách_hàng những tính_năng hiện_đại với hệ_thống đèn ban_ngày , đèn sương_mù dạng led , cảm_biến gạt mưa tự_động , cốp mở điện thông_minh . .	0							
46	none	nhờ vào trang_bị và những thay_đổi_mới trong ngoại_hình ở thế_hệ mới , chiếc xe của honda ngày_càng được đón_nhận nhiều với doanh_số cao , thường xuất_hiện trong top 10 xe bán_chạy nhất	0							
423	none	trong khi đó , vô - lăng của ford ecosport vẫn là dạng bọc da 3 chấu như phiên_bản cũ và được tích_hợp đầy_đủ các phím bấm chức_năng như điều_chỉnh âm_thanh , ra_lệnh giọng nói , chế_độ đàm_thoại rảnh tay , ga tự_động , chế_độ giới_hạn tốc_độ ( lim ) . .	0							
131	none	ấn_tượng nhất đuôi xe kia cerato là cụm đèn hậu được nối_liền nhau , thiết_kế thường thấy trên các mẫu xe đức_cao_cấp	0							
43	none	mặc_dù nút bấm mở khoang hành_lý được thiết_kế chưa đẹp_mắt nhưng tính ứng_dụng của nó khiến khách_hàng hài_lòng	0							
108	none	hyundai accent 2018 phiên_bản 1.4 at đặc_biệt trang_bị vô_lăng 3 chấu , bọc da tích_hợp nút điều_khiển lái và điều_chỉnh âm_thanh	0							
153	none	kia cerato thế_hệ mới vừa được chính_thức giới_thiệu tới khách_hàng việt trong thời_điểm cuối năm 2018	0							
325	none	dù doanh_số không_thể cạnh_tranh với ông vua camry , nhưng cả hai đều định_vị cho mình những nhóm khách_hàng khác_biệt	0							
476	none	không chỉ vậy , khoang lái của xe còn ngập_tràn da artico và vật_liệu nhôm sáng màu	0							
152	none	trang_bị tiện_nghi trên honda_civic 2019 bao_gồm : một màn_hình 7 - inch đa chức_năng với giao_diện rõ_ràng , dễ_dàng làm_quen và sử_dụng , kết_nối usb / bluetooth / hdmi / wifi / radio âm_thanh 8 loa , khả_năng trả_lời điện_thoại rảnh tay , nhắn_tin , ra_lệnh bằng giọng nói và cả bản_đồ dẫn đường … trang_bị an_toàn là một trong những nâng_cấp đáng_giá trên cerato thế_hệ mới	0							
