sentence_idx	sentence	CSI
383	sau khi honda city rs 2021 chính_thức được trình_làng vào tháng 12 năm_ngoái , đây là chiếc xe sedan hạng b đầu_tiên tại việt_nam có phiên_bản thể_thao	0
383	đó là thêm bộ bodykit	0
383	để tìm_hiểu rõ hơn về 2 phiên_bản thể_thao này , mời độc_giả cùng chúng_tôi so_sánh xe honda city rs 2021 và toyota_vios gr - s 2021 tại việt_nam	0
383	ngoài 5 biến_thể đã bán từ trước , toyota đã bổ_sung vios gr - s với giá bán	0
383	đặc_biệt , ở thế_hệ mới , honda còn cung_cấp đến người dùng phiên_bản thể_thao city rs khác_biệt , lần đầu xuất_hiện ở việt_nam	0
383	ở phần đầu , honda city rs và toyota_vios gr - s 2021 đều sử_dụng cụm đèn_pha với những khoang led chia nhỏ bên trong và tích_hợp đèn định_vị ban_ngày	0
383	lưới tản_nhiệt là sự khác_biệt lớn khi honda city rs dạng “ solid_wing_face ” với thanh ngang sơn đen cứng_cáp chứa logo thương_hiệu và log rs để phân_biệt với những biến_thể khác của dòng xe này	0
383	trong khi đó , bộ bodykit mới của toyota_vios gr - s khá góc_cạnh , cản trước khí động_học và vân lưới tản_nhiệt sơn đen bóng đúng phong_cách xe thể_thao	0
383	trong khi đó , mâm của vios gr - s có tạo_hình khá cầu kỳ_cùng kích_thước 15 inch sơn đen bóng	0
383	gương xe trên honda city rs 2021 được sơn đen tích_hợp dải_xi - nhan led cùng các tính_năng chỉnh điện , gập tự_động tiêu_chuẩn	0
383	còn toyota_vios gr - s 2021 lại có phần tay nắm cửa đen bóng tích_hợp tính_năng mở khóa thông_minh	0
383	ngoài_ra , 2 mẫu xe này đều được trang_bị cánh gió thể_thao sơn đen , cản sau khí động_học	0
383	điểm mà chúng_tôi chưa ấn_tượng trên city đến từ cụm điều_chỉnh điều hòa vẫn có thiết_kế núm xoay khó to bản , nếu là những phím bấm sẽ giúp tổng_thể không_gian nội_thất xe mềm_mại hơn	0
383	trong khi đó , toyota_vios gr - s 2021 giữ nguyên thiết_kế của phiên_bản cũ đã bán ở việt_nam_trước_đây	0
383	trung_tâm bảng táp - lô là màn_hình giải_trí 7 inch khả_năng hiển_thị cần phải cải_tiến đáng_kể	0
383	ghế_ngồi của 2 mẫu xe này đều sử_dụng chất_liệu da và da_lộn	0
383	thế nhưng , toyota là khá tiết_kiệm khi hàng ghế sau của xe chỉ là da trơn thiếu sự đồng_nhất	0
383	bên cạnh đó , honda city rs cũng ghi_điểm với người dùng khi được trang_bị cửa gió điều hòa hàng ghế sau , một chi_tiết quan_trọng tại thị_trường việt_nam	0
383	động_cơ trên sẽ được ghép_nối với hộp_số tự_động vô cấp cvt và hệ dẫn_động cầu trước	0
383	dùng động_cơ i - 4 1.5 l dual vvt - i công_suất 107 mã_lực , mô - men xoắn 140 nm cùng hộp_số tự_động vô cấp cvt và dẫn_động bánh trước	0
383	riêng phiên_bản toyota_vios gr - s , người dùng sẽ có 2 chế_độ lái là eco và sport	0
383	qua bài so_sánh trên , hy_vọng độc_giả có cái nhìn khách_quan nhất về 2 mẫu xe đình_đám trong phân khúc sedan hạng b tại việt_nam	0
383	mỗi chiếc xe đều sở_hữu những ưu nhược_điểm riêng và hướng tới đối_tượng khách_hàng khác nhau	0
383	honda city rs đúng chất thể_thao từ ngoại_thất đến nội_thất và khiến người dùng có nhiều cảm_xúc khi trải nghiệm	0
383	riêng với toyota_vios gr - s , đây là phiên_bản thêm bodykit nên vẫn thiếu đi sự tinh_tế dù đã hiện_đại hơn rất nhiều	0
383	điểm mạnh của xe vẫn đến từ_tính thương_hiệu , khả_năng thanh khoản cao	0
220	ngày_nay , nhu_cầu của người tiêu_dùng về một chiếc xe_hơi ngày_càng được nâng cao	0
220	không chỉ có ngoại_hình bắt_mắt , trẻ_trung , những mẫu xe hiện_nay còn phải đáp_ứng nhiều tiêu_chí như tiện_nghi , công_nghệ an_toàn bắt kịp xu_hướng và khả_năng vận ổn_định	0
